,date,total_confirmed,new_confirmed,new_confirmed_after_interp_spline,total_deaths,new_deaths,new_death_after_interp_spline,total_recovered
0,2020-04-13,14328,548,548.0,337,31,31.0,2269.0
1,2020-04-20,19847,565,565.0,542,21,21.0,5706.0
2,2020-04-28,25565,514,514.0,717,18,18.0,11170.0
3,2020-05-05,32889,766,765.9999999999999,965,25,25.0,16090.0
4,2020-05-12,40701,894,894.0,1179,29,29.000000000000004,21713.0
5,2020-05-19,49400,770,770.0,1430,12,12.0,28371.0
6,2020-05-26,56434,473,473.0,1609,11,10.999999999999998,35292.0
7,2020-06-02,65732,988,988.0,1765,12,12.000000000000002,43338.0
8,2020-06-09,76689,992,992.0,1928,11,11.0,49758.0
9,2020-06-16,90488,1709,1709.0,2097,23,23.0,59089.0
10,2020-06-23,118222,5110,5110.0,2317,23,23.0,69190.0
11,2020-06-30,157434,6389,6389.0,2564,30,30.0,81335.0
12,2020-07-07,206410,10033,10033.0,2872,55,55.00000000000001,103782.0
13,2020-07-14,270707,7156,7156.0,3505,73,73.00000000000001,136419.0
14,2020-07-21,344484,8830,8830.0,4389,112,112.0,177871.0
15,2020-07-28,401119,6450,6450.0,6112,696,695.9999999999999,229107.0
16,2020-08-04,459256,9279,9279.0,7448,164,163.99999999999997,297422.0
17,2020-08-11,513939,6010,6010.0,9615,92,91.99999999999997,349833.0
18,2020-08-18,565979,5495,5495.0,10820,57,56.99999999999999,405817.0
19,2020-08-25,603381,4471,4471.0,12103,57,56.99999999999999,457182.0
20,2020-09-01,636201,3336,3335.9999999999995,13105,41,41.0,507499.0
21,2020-09-08,662778,867,867.0,13997,47,47.0,543412.0
22,2020-09-15,690216,4050,4050.0,14753,44,44.0,577832.0
23,2020-09-22,739487,21760,21760.0,15417,51,51.0,611856.0
24,2020-09-29,767990,2987,2986.9999999999995,16092,63,63.0,657407.0
25,2020-10-06,799793,4273,4273.0,16717,116,116.0,683700.0
26,2020-10-13,828815,2619,2619.0,17271,32,32.0,705189.0
27,2020-10-20,865445,3254,3254.0,17777,24,24.0,729762.0
28,2020-10-27,907706,6575,6575.0,18299,38,38.0,758192.0
29,2020-11-03,982529,6812,6811.999999999999,18882,42,42.0,787685.0
30,2020-11-10,1046241,7192,7192.000000000002,19589,54,54.0,820156.0
31,2020-11-17,1124116,8738,8738.0,20420,47,47.00000000000001,875521.0
32,2020-11-24,1210459,8529,8529.0,21395,55,55.0,917739.0
33,2020-12-01,1291458,10121,10121.0,22271,72,72.0,962639.0
34,2020-12-08,1394656,7493,7493.000000000001,23491,58,58.0,1038806.0
35,2020-12-15,1493486,10318,10318.0,24684,47,47.0,1185628.0
36,2020-12-22,1607985,13020,13019.999999999998,26144,110,110.0,1279067.0
37,2020-12-29,1707818,8624,8624.0,27205,75,75.0,1357576.0
38,2021-01-05,1831146,14260,14260.0,28570,74,74.00000000000001,1464746.0
39,2021-01-12,1990204,22015,22015.0,30585,106,106.0,1568710.0
40,2021-01-19,2138190,11079,11079.0,32711,111,111.0,1697272.0
41,2021-01-26,2269424,19003,19003.0,35090,179,179.0,1818785.0
42,2021-02-02,2412627,36283,36283.0,37245,171,171.0,1974572.0
43,2021-02-09,2504578,9717,9717.0,39482,160,160.0,2104894.0
44,2021-02-16,2571723,2793,2793.0,41336,63,63.0,2260840.0
45,2021-02-23,2606513,5853,5853.0,42301,139,139.0,2331940.0
46,2021-03-02,2660791,7778,7778.0,43909,212,212.0,2429453.0
47,2021-03-09,2699083,3525,3524.9999999999995,45411,96,96.0,0.0
48,2021-03-16,2731814,4352,4352.0,46519,96,96.0,0.0
49,2021-03-23,2757552,2936,2936.0,47446,100,100.0,0.0
50,2021-03-30,2786219,3484,3484.0,48134,41,41.0,0.0
51,2021-04-06,2806908,4683,4683.0,48729,32,32.0,0.0
52,2021-04-13,2831972,4995,4995.000000000001,49231,19,19.0,0.0
53,2021-04-20,2855052,4477,4477.0,49618,23,23.0,0.0
54,2021-04-27,2878438,4443,4443.0,49967,31,30.999999999999996,0.0
55,2021-05-04,2901549,4439,4439.0,50331,41,41.00000000000001,0.0
56,2021-05-11,2917219,2715,2715.0,50665,22,22.0,0.0
57,2021-05-18,2931500,2450,2450.0,50972,31,31.000000000000004,0.0
58,2021-05-25,2944265,2876,2876.0000000000005,51249,24,24.0,0.0
59,2021-06-01,2953409,174,174.0,51508,3,2.999999999999999,0.0
60,2021-06-08,2964109,1175,1175.0,51736,17,17.0,0.0
61,2021-06-15,2978351,978,977.9999999999999,51940,11,11.0,0.0
62,2021-06-22,2986414,755,755.0,52118,8,8.0,0.0
63,2021-06-29,2995223,834,834.0,52279,6,5.999999999999999,0.0
64,2021-07-06,3005221,537,537.0,52482,0,0.0,0.0
65,2021-07-13,3020886,3565,3565.0,52661,32,32.0,0.0
66,2021-07-20,3044072,2662,2662.0,52839,12,12.0,0.0
67,2021-07-27,3083368,5855,5855.0,53037,19,19.0,0.0
