,date,total_confirmed,new_confirmed,new_confirmed_after_fft,new_confirmed_after_sg,new_confirmed_after_convolve,total_deaths,new_deaths,new_death_after_fft,new_death_after_sg,new_death_after_convolve,total_recovered
0,2020-04-13,580526,25255,73077.81692017014,25249.347549799135,18294.452762790697,23909,1542,2109.1491576992694,2480.2356201784573,1375.581618604651,23909
1,2020-04-14,607220,26694,62664.27691312002,26910.727304834476,19090.778641860466,26236,2327,2198.647343765129,2514.1135823115146,1429.862586046512,26236
2,2020-04-15,636538,29318,52628.11632883087,28199.765776313787,19900.712409302327,28710,2474,2277.1424878373928,2531.109992683704,1485.1870511627906,28710
3,2020-04-16,667773,31235,43378.74646735935,29169.317007123416,20726.153711627903,33317,4607,2341.6558144267697,2533.6137624796415,1541.2927255813952,33317
4,2020-04-17,699948,32175,35264.94441068519,29866.1481305996,21569.058046511625,37182,3865,2389.6780153777577,2523.770728996727,1598.2156651162793,37182
5,2020-04-18,732511,32563,28553.63161250239,30331.520425045223,22429.394306976745,39045,1863,2419.3548393990177,2503.5030005477606,1655.8229581395349,39045
6,2020-04-19,759150,26639,23414.974138398476,30601.72610165331,23303.88989767442,41093,2048,2429.637663160539,2474.5270768757264,1713.8820093023255,41093
7,2020-04-20,784339,25189,19914.797392385368,30708.58347376416,24192.768930232556,42601,1508,2420.385187131494,2438.3708071345627,1772.4783627906977,42601
8,2020-04-21,812350,28011,18014.72189667891,30679.893031106636,25096.51780465116,44889,2288,2392.4058086493073,2396.3892449648265,1831.7484651162788,44889
9,2020-04-22,841392,29042,17579.816629109773,30539.85682297855,26014.302995348837,47083,2194,2347.4346594013386,2349.7794577505624,1891.7255441860468,47083
10,2020-04-24,869377,27985,18392.982815286556,30309.463439075334,26947.25071627907,50373,3290,2288.044399901928,2299.5943447813115,1952.425860465116,50373
11,2020-04-25,905402,36025,20174.771372632575,30006.840765750487,27901.32078139534,52377,2004,2217.4942168801304,2246.7555167589335,2013.9172837209298,52377
12,2020-04-26,938961,33559,22606.942083932157,29647.57858875945,28871.56576744186,54211,1834,2139.5266159643656,2192.0652868807133,2075.902176744186,54211
13,2020-04-27,966314,27353,25357.822569418935,29245.023010877612,29855.075758139534,55409,1198,2058.12609443589,2136.2178215960976,2138.2122790697676,55409
14,2020-04-28,988946,22632,28107.438155689644,28810.54455407178,30850.275609302324,56804,1395,1977.2572170380577,2079.809497072354,2200.8553674418604,56804
15,2020-04-29,1013567,24621,30570.46377779737,28353.781721025345,31858.198213953485,58899,2095,1900.6016849506416,2023.348505412585,2264.1743255813954,58899
16,2020-04-30,1040857,27290,32515.285974277554,27882.861699655285,32881.33283720931,61380,2481,1831.314479527226,1967.2637527459437,2328.1316837209297,61380
17,2020-05-01,1070356,29499,33777.83370026,27404.599806700953,33920.06902325582,63277,1897,1771.8180058180806,1911.913089452754,2392.68785116279,63277
18,2020-05-02,1104673,34317,34269.30710892048,26924.67918240141,34977.306083720934,65243,1966,1723.6504243070765,1857.5909109947283,2457.84,65243
19,2020-05-03,1134034,29361,33977.461899419,26447.812167601383,36052.61064186047,66832,1589,1687.380247333685,1804.5351660908373,2523.5061209302326,66832
20,2020-05-04,1159488,25454,32961.64751693946,25977.884717231944,37141.8560744186,68222,1390,1662.5941147124138,1752.9338073108702,2589.405544186047,68222
21,2020-05-05,1181551,22063,31342.304588965108,25518.085129897394,38244.21026976744,69480,1258,1647.9588705169488,1702.9307175496679,2655.5849302325582,69480
22,2020-05-06,1205503,23952,29286.05855837526,25071.018302165492,39363.48100465116,71531,2051,1641.3531181630824,1654.6311442937013,2722.3214139534884,71531
23,2020-05-07,1229579,24076,26987.868027622386,24638.806648005662,40502.00978604652,73743,2212,1640.0578303197433,1608.1066720965746,2789.594493023256,73743
24,2020-05-08,1258201,28622,24651.873620598977,24223.17875855526,41660.29786046513,75961,2218,1640.9908059010984,1563.3997622394409,2857.360334883721,75961
25,2020-05-09,1285666,27465,22472.63410870026,23825.546814922134,42841.14273488372,77499,1538,1640.9662052524534,1520.527887164817,2925.5906604651163,77499
26,2020-05-10,1310850,25184,20618.331981397198,23447.07370696501,44045.4479255814,79097,1598,1636.9583626346275,1479.4872859362372,2994.227497674419,79097
27,2020-05-11,1330729,19879,19217.293996246106,23088.73075384095,45268.41023255813,79924,827,1626.3487504073298,1440.25636569017,3063.0637023255827,79924
28,2020-05-12,1348818,18089,18348.828072578475,22751.346867484375,46513.52141395349,81106,1182,1607.136386168531,1402.7987728091805,3132.1904744186045,81106
29,2020-05-13,1370968,22150,18038.959474778774,22435.64994800473,47784.334027906974,82766,1660,1578.0950191661548,1367.0661563550007,3201.8262697674418,82766
30,2020-05-14,1391857,20889,18261.195442494296,22142.301250173226,49080.993004651165,84471,1705,1538.8648536624903,1333.0006451556612,3271.9915906976744,84471
31,2020-05-15,1418584,26727,18941.99918836178,21871.923412634547,50406.29231627906,86251,1780,1489.9719952724022,1300.5370588406322,3343.876279069768,86251
32,2020-05-16,1443775,25191,19970.250802634633,21625.1227961531,51764.22496744186,87873,1622,1432.7747862017493,1269.6048720608926,3416.2098976744182,87873
33,2020-05-17,1468910,25135,21209.64832114088,21402.506734000657,53151.97719069768,89082,1209,1369.3422241647133,1240.1299501155559,3488.894176744187,89082
34,2020-05-18,1488414,19504,22512.7832902247,21204.696256450126,54569.50161860463,89955,873,1302.275230772039,1212.036073231849,3561.795497674419,89955
35,2020-05-19,1509913,21499,23735.527735357973,21032.334812176683,56015.12907906977,90786,831,1234.4861808531982,1185.2462658098154,3634.927293023258,90786
36,2020-05-20,1530024,20111,24750.39832447947,20886.093472116896,57494.1760372093,92253,1467,1168.9554363628747,1159.6839460455808,3708.920186046512,92253
37,2020-05-21,1553138,23114,25457.71205518001,20766.67306593441,59009.2865860465,93749,1496,1108.485371658778,1135.2739104865798,3783.370493023256,93749
38,2020-05-22,1578654,25516,25793.59873733219,20674.80366761007,60563.17127441859,94980,1231,1055.4723914833544,1111.9431672472022,3858.3305302325584,94980
39,2020-05-23,1602533,23879,25734.262865600966,20611.24181476098,62155.50913488372,96215,1235,1011.7157370787039,1089.6216308232795,3933.774139534883,96215
40,2020-05-24,1623749,21216,25296.25895061952,20576.76581602858,63782.142437209295,97286,1071,978.2786041945236,1068.2426906869252,4009.413581395349,97286
41,2020-05-25,1644754,21005,24532.924645895095,20572.169472198675,65443.817748837224,97933,647,955.4125467179098,1047.7436651192543,4085.267237209303,97933
42,2020-05-26,1663783,19029,23527.469876725183,20598.254509570594,67138.03732093023,98472,539,942.5507061274966,1028.0661510454356,4161.369041860464,98472
43,2020-05-27,1681653,17870,22383.515826303308,20655.821998412903,68873.90560000001,99146,674,938.3695578112244,1009.1562799741489,4238.264074418605,99146
44,2020-05-28,1700901,19248,21214.089443800407,20745.66300508549,69098.31981395351,100622,1476,940.9131006954254,990.9648895104629,4220.8781023255815,100622
45,2020-05-29,1722836,21935,20130.189895775977,20868.548703501223,69259.29629767442,101727,1105,947.7682259240275,973.4476193063695,4154.837990697674,101727
46,2020-05-30,1747537,24701,19230.045663175486,21025.220150006066,69287.99319069767,102883,1156,956.2758198436015,956.5649397360378,4078.6796279069767,102883
47,2020-05-31,1772194,24657,18590.077617355124,21216.377905414694,69221.45536744187,103851,968,963.7593324398983,940.2821210322095,3870.104520930232,103851
48,2020-06-01,1792222,20028,18258.386969125662,21442.671668800114,69118.05860465116,104490,639,967.7513014211162,924.5691500949142,3704.2209116279073,104490
49,2020-06-02,1812567,20345,18251.318421963802,21704.690069653698,69008.59173953488,105250,760,966.1987531779915,909.4006016837072,3659.0401488372095,105250
50,2020-06-03,1833600,21033,18553.335359332923,22002.950748157677,69287.79594418604,106203,953,957.630449253979,894.7554702278758,3601.7813953488367,106203
51,2020-06-04,1853454,19854,19120.116213762176,22337.89083749737,69685.36219534883,107203,1000,941.2724167941096,880.6169680361352,3576.953079069767,107203
52,2020-06-05,1874901,21447,19884.4706869047,22709.857947347704,69945.21786046511,108226,1023,917.1027795521038,866.9722952558393,3503.7626046511637,108226
53,2020-06-06,1904778,29877,20764.41028190117,23119.101733843545,70172.85235348837,109345,1119,885.8421864447779,853.8123865226776,3435.3647255813958,109345
54,2020-06-07,1927657,22879,21672.513746283243,23565.76612845473,70490.77979534882,110043,698,848.8816556828551,841.1316388522557,3298.62128372093,110043
55,2020-06-08,1946420,18763,22525.62142864914,24049.882286179352,70338.34076279069,110503,460,808.1549374482545,828.9276249568488,3238.95951627907,110503
56,2020-06-09,1962955,16535,23253.881546622306,24571.36230233834,70354.27955348839,110974,471,765.9670966660458,817.2007958200218,3188.610046511628,110974
57,2020-06-10,1980951,17996,23808.255045939586,25129.993736894223,70774.9038511628,111930,956,724.7945446112897,805.9541760313659,3176.844539534884,111930
58,2020-06-11,2002468,21517,24165.754231825027,25725.434975676177,71516.15906976744,112833,903,687.0739167619687,795.19305506963,3152.9635720930237,112833
