,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
0,2020-04-13,14328,548,3358.6116046504058,337,31,51.32534837962461,2269.0
1,2020-04-14,15088,760,2947.7016826064946,363,26,46.90099760616552,2580.0
2,2020-04-15,16044,956,2523.5348593754074,406,43,42.58480146153252,3150.0
3,2020-04-16,16985,941,2105.1858652869596,440,34,38.54325869666686,3677.0
4,2020-04-17,17925,940,1710.4762429219454,479,39,34.912304129713355,4190.0
5,2020-04-18,18724,799,1354.8826126308936,501,22,31.79206190809557,4806.0
6,2020-04-19,19282,558,1050.6640606107676,521,20,29.24471070561605,5334.0
7,2020-04-20,19847,565,806.2641998282957,542,21,27.295273689872282,5706.0
8,2020-04-21,20785,938,626.0193165032322,574,32,25.934931512436506,6486.0
9,2020-04-22,21577,792,510.1782545797161,596,22,25.126295584478395,7341.0
10,2020-04-24,22797,1220,455.2145473754706,645,49,24.8099808131451,8025.0
11,2020-04-25,23772,975,454.38889417969045,663,18,24.911784916441384,9156.0
12,2020-04-26,24287,515,498.50220636560687,678,15,25.34981247929479,9986.0
13,2020-04-27,25051,764,576.7674593785707,699,21,26.04096773936082,10763.0
14,2020-04-28,25565,514,677.7232649018306,717,18,26.906368089339562,11170.0
15,2020-04-29,26506,941,790.1135849494825,764,47,27.87538498920271,11786.0
16,2020-04-30,27542,1036,903.6658974273097,803,39,28.888183686504668,12507.0
17,2020-05-01,28890,1348,1009.7133900551839,847,44,29.896791519627225,12507.0
18,2020-05-02,29970,1080,1101.6239636642472,882,35,30.864862185040188,14122.0
19,2020-05-03,31126,1156,1175.0182290016796,917,35,31.766408863702562,14891.0
20,2020-05-04,32123,997,1227.7784204907098,940,23,32.583845193270086,15544.0
21,2020-05-05,32889,766,1259.8684145059744,965,25,33.30569684381018,16090.0
22,2020-05-06,34137,1248,1273.0002349560377,984,19,33.92432942951307,16791.0
23,2020-05-07,35225,1088,1270.1933201871052,1013,29,34.433986175729856,17622.0
24,2020-05-08,36244,1019,1255.2786385646893,1046,33,34.82934984784555,18440.0
25,2020-05-09,37530,1286,1232.4002187904548,1081,35,35.10474872960011,19197.0
26,2020-05-10,38983,1453,1205.562070259255,1117,36,35.25402758444666,20141.0
27,2020-05-11,39807,824,1178.2595503825278,1150,33,35.271012839399035,21022.0
28,2020-05-12,40701,894,1153.2221183816716,1179,29,35.150426462540025,21713.0
29,2020-05-13,42030,1329,1132.2804892718295,1216,37,34.88905245830731,21713.0
30,2020-05-14,43456,1426,1116.356973894764,1238,22,34.48693776000155,23519.0
31,2020-05-15,44701,1245,1105.5647292551162,1309,71,33.948416331986266,24487.0
32,2020-05-16,45891,1190,1099.3910330691933,1356,47,33.28277895178369,25454.0
33,2020-05-17,47650,1759,1096.9325159048083,1395,39,32.504465969360766,26601.0
34,2020-05-18,48630,980,1097.1471165314904,1418,23,31.63272869897277,27570.0
35,2020-05-19,49400,770,1099.0885114191155,1430,12,30.690778095478,28371.0
36,2020-05-20,50740,1340,1102.0936042731623,1465,35,29.70450789105485,29359.0
37,2020-05-21,51985,1245,1105.9016429612518,1507,42,28.700935120823306,30341.0
38,2020-05-22,53279,1294,1110.6936404063863,1530,23,27.706537376844793,30341.0
39,2020-05-23,53817,538,1117.0517933984265,1541,11,26.745679065689234,31223.0
40,2020-05-24,54932,1115,1125.8492318427723,1554,13,25.839307134810483,32277.0
41,2020-05-25,55961,1029,1138.0894746742697,1598,44,25.004061874401085,33385.0
42,2020-05-26,56434,473,1154.721401293278,1609,11,24.25189493305227,35292.0
43,2020-05-27,57468,1034,1176.4586589365078,1623,14,23.590221259394564,36375.0
44,2020-05-28,58838,1370,1203.631886315154,1657,34,23.02256239085448,37626.0
45,2020-05-29,60625,1787,1236.0980236638288,1678,21,22.549573956375475,38905.0
46,2020-05-30,61254,629,1273.223781681776,1697,19,22.17029856229313,40068.0
47,2020-05-31,63045,1791,1313.9508871188864,1736,39,21.883453085402287,40068.0
48,2020-06-01,64744,1699,1356.9400990787938,1753,17,21.68855128531716,42423.0
49,2020-06-02,65732,988,1400.7804258720887,1765,12,21.586680281612615,43338.0
50,2020-06-03,67569,1837,1444.240703467617,1789,24,21.58079151038743,44517.0
51,2020-06-04,69122,1553,1486.5338327342808,1818,29,21.675429027043133,45858.0
52,2020-06-05,70802,1680,1527.5603749235584,1855,37,21.875893668095458,46799.0
