,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
0,2020-04-13,580526,25255,81196.08542364687,23909,1542,2234.2604167275317,23909
1,2020-04-14,607220,26694,70881.87588546642,26236,2327,2320.13140013559,26236
2,2020-04-15,636538,29318,60576.76972795496,28710,2474,2389.8459104252056,28710
3,2020-04-16,667773,31235,50718.51984077463,33317,4607,2441.1955733212344,33317
4,2020-04-17,699948,32175,41705.752158718016,37182,3865,2472.6949417572728,37182
5,2020-04-18,732511,32563,33872.65600786893,39045,1863,2483.6853803000017,39045
6,2020-04-19,759150,26639,27468.785946692456,41093,2048,2474.3939736161296,41093
7,2020-04-20,784339,25189,22645.403909208617,42601,1508,2445.940900615715,42601
8,2020-04-21,812350,28011,19449.257850435733,44889,2288,2400.292142262927,44889
9,2020-04-22,841392,29042,17824.09582626032,47083,2194,2340.158256327809,47083
10,2020-04-24,869377,27985,17619.602348470456,50373,3290,2268.843960754071,50373
11,2020-04-25,905402,36025,18606.867466000123,52377,2004,2190.0570973820004,52377
12,2020-04-26,938961,33559,20499.005254949105,54211,1834,2107.688879269028,54211
13,2020-04-27,966314,27353,22975.166622106306,55409,1198,2025.5798665043496,55409
14,2020-04-28,988946,22632,25705.97010252848,56804,1395,1947.2876309432743,56804
15,2020-04-29,1013567,24621,28378.319126146293,58899,2095,1875.8724005311997,58899
16,2020-04-30,1040857,27290,30717.686270886476,61380,2481,1813.7160528591337,61380
17,2020-05-01,1070356,29499,32506.21140866632,63277,1897,1762.3876909255116,63277
18,2020-05-02,1104673,34317,33595.355675565166,65243,1966,1722.5658189238288,65243
19,2020-05-03,1134034,29361,33912.3407515735,66832,1589,1694.0230720550067,66832
20,2020-05-04,1159488,25454,33460.13979204115,68222,1390,1675.6748473478417,68222
21,2020-05-05,1181551,22063,32311.326010876637,69480,1258,1665.6883894815048,69480
22,2020-05-06,1205503,23952,30596.581666682432,71531,2051,1661.6442867697206,71531
23,2020-05-07,1229579,24076,28489.083064918173,73743,2212,1660.7382994384293,73743
24,2020-05-08,1258201,28622,26186.273357967602,75961,2218,1660.008307016721,75961
25,2020-05-09,1285666,27465,23890.69245276177,77499,1538,1656.5691877895292,77499
26,2020-05-10,1310850,25184,21791.542808766208,79097,1598,1647.8378032453395,79097
27,2020-05-11,1330729,19879,20048.534995595408,79924,827,1631.7310196644362,79924
28,2020-05-12,1348818,18089,18779.293715145242,81106,1182,1606.8218088732308,81106
29,2020-05-13,1370968,22150,18051.240481530946,82766,1660,1572.4417709172885,82766
30,2020-05-14,1391857,20889,17878.43834730321,84471,1705,1528.7226540151028,84471
31,2020-05-15,1418584,26727,18223.42688529416,86251,1780,1476.5742741707943,86251
32,2020-05-16,1443775,25191,19003.633216821552,87873,1622,1417.601269731305,87873
33,2020-05-17,1468910,25135,20101.555889250754,89082,1209,1353.965957442665,89082
34,2020-05-18,1488414,19504,21377.6156732858,89955,873,1288.2087935244724,89955
35,2020-05-19,1509913,21499,22684.37506485551,90786,831,1223.0412409902408,90786
36,2020-05-20,1530024,20111,23880.760046670126,92253,1467,1161.1279346643348,92253
37,2020-05-21,1553138,23114,24844.975558516235,93749,1496,1104.8757492415418,93749
38,2020-05-22,1578654,25516,25484.980774716176,94980,1231,1056.246658199178,94980
39,2020-05-23,1602533,23879,25745.6620221558,96215,1235,1016.6091858185018,96215
40,2020-05-24,1623749,21216,25612.182064705896,97286,1071,986.6399776973416,97286
41,2020-05-25,1644754,21005,25109.36109065195,97933,647,966.2828220847547,97933
