,date,total_confirmed,new_confirmed,new_confirmed_after_interp_spline,total_deaths,new_deaths,new_death_after_interp_spline,total_recovered
0,2020-04-13,580526,25255,25255.0,23909,1542,1542.0,23909
1,2020-04-30,1040857,27290,27289.999999999996,61380,2481,2481.0,61380
2,2020-05-16,1443775,25191,25191.0,87873,1622,1621.9999999999998,87873
3,2020-06-01,1792222,20028,20028.0,104490,639,639.0,104490
4,2020-06-17,2138450,23928,23928.0,116764,788,787.9999999999999,116764
5,2020-07-03,2753200,54845,54845.0,128396,721,721.0,128396
6,2020-07-19,3725787,64800,64800.0,139893,873,873.0,139893
7,2020-08-04,4728367,46078,46078.0,155292,565,565.0,155292
8,2020-08-20,5542976,43591,43591.00000000001,172838,1306,1306.0000000000002,172838
9,2020-09-05,6215262,51089,51089.0,187442,977,977.0,187442
10,2020-09-21,6824754,39960,39959.99999999999,199207,260,260.0,199207
11,2020-10-07,7527937,45399,45399.0,210796,707,706.9999999999999,210796
12,2020-10-23,8461142,76341,76341.0,223331,839,839.0,223331
13,2020-11-08,10009912,132516,132516.0,238540,1141,1141.0000000000002,238540
14,2020-11-24,12547989,171894,171894.0,259759,1073,1073.0,259759
15,2020-12-10,15588347,221135,221135.0,292906,3181,3181.0,292906
16,2020-12-26,18940661,108685,108685.0,335650,1505,1505.0,335650
17,2021-01-11,22564648,213376,213376.0,381069,2104,2104.0,381069
18,2021-01-27,25566731,144782,144782.0,431972,3982,3982.0000000000005,431972
19,2021-02-12,27522763,106305,106305.0,480520,3192,3191.9999999999995,480520
20,2021-02-28,28666895,66064,66064.00000000001,513085,1520,1519.9999999999998,513085
21,2021-03-16,29564758,54764,54764.0,535238,700,700.0,535238
22,2021-04-01,30532921,66972,66971.99999999999,551456,1101,1101.0,551456
23,2021-04-17,31650171,80382,80382.00000000001,565462,861,861.0000000000001,565462
24,2021-05-03,32500951,30075,30075.0,576414,321,321.0,576414
25,2021-05-19,33076326,27802,27801.999999999996,586423,780,779.9999999999999,586423
26,2021-06-04,33403066,19084,19084.000000000004,595560,639,639.0,595560
27,2021-06-20,33616907,8504,8504.0,601289,175,175.0,601289
28,2021-07-06,33806811,8835,8835.0,605211,122,122.0,605211
29,2021-07-22,34314662,50585,50585.0,609445,352,352.0,609445
30,2021-08-07,35793497,255295,255294.99999999994,616301,1154,1154.0,616301
31,2021-08-23,37827906,36379,36378.999999999985,628534,170,169.99999999999994,628534
32,2021-09-08,40423853,265429,265429.0,651536,2134,2134.0,651536
33,2021-09-24,42713558,126473,126473.00000000001,685471,3267,3267.0000000000005,685471
34,2021-10-10,44359865,30442,30442.0,714164,369,369.0000000000001,714164
35,2021-10-26,45604266,116363,116363.0,739435,1469,1468.9999999999998,739435
36,2021-11-11,46812691,95008,95008.0,760080,1675,1675.0,760080
37,2021-11-27,48179532,51264,51264.0,776817,273,273.0,776817
