,date,total_confirmed,new_confirmed,new_confirmed_after_fft
0,2020-04-13,14328,548,3358.6116046504058
1,2020-04-14,15088,760,2947.7016826064946
2,2020-04-15,16044,956,2523.5348593754074
3,2020-04-16,16985,941,2105.1858652869596
4,2020-04-17,17925,940,1710.4762429219454
5,2020-04-18,18724,799,1354.8826126308936
6,2020-04-19,19282,558,1050.6640606107676
7,2020-04-20,19847,565,806.2641998282957
8,2020-04-21,20785,938,626.0193165032322
9,2020-04-22,21577,792,510.1782545797161
10,2020-04-24,22797,1220,455.2145473754706
11,2020-04-25,23772,975,454.38889417969045
12,2020-04-26,24287,515,498.50220636560687
13,2020-04-27,25051,764,576.7674593785707
14,2020-04-28,25565,514,677.7232649018306
15,2020-04-29,26506,941,790.1135849494825
16,2020-04-30,27542,1036,903.6658974273097
17,2020-05-01,28890,1348,1009.7133900551839
18,2020-05-02,29970,1080,1101.6239636642472
19,2020-05-03,31126,1156,1175.0182290016796
20,2020-05-04,32123,997,1227.7784204907098
21,2020-05-05,32889,766,1259.8684145059744
22,2020-05-06,34137,1248,1273.0002349560377
23,2020-05-07,35225,1088,1270.1933201871052
24,2020-05-08,36244,1019,1255.2786385646893
25,2020-05-09,37530,1286,1232.4002187904548
26,2020-05-10,38983,1453,1205.562070259255
27,2020-05-11,39807,824,1178.2595503825278
28,2020-05-12,40701,894,1153.2221183816716
29,2020-05-13,42030,1329,1132.2804892718295
30,2020-05-14,43456,1426,1116.356973894764
31,2020-05-15,44701,1245,1105.5647292551162
32,2020-05-16,45891,1190,1099.3910330691933
33,2020-05-17,47650,1759,1096.9325159048083
34,2020-05-18,48630,980,1097.1471165314904
35,2020-05-19,49400,770,1099.0885114191155
36,2020-05-20,50740,1340,1102.0936042731623
37,2020-05-21,51985,1245,1105.9016429612518
38,2020-05-22,53279,1294,1110.6936404063863
39,2020-05-23,53817,538,1117.0517933984265
40,2020-05-24,54932,1115,1125.8492318427723
41,2020-05-25,55961,1029,1138.0894746742697
42,2020-05-26,56434,473,1154.721401293278
43,2020-05-27,57468,1034,1176.4586589365078
44,2020-05-28,58838,1370,1203.631886315154
45,2020-05-29,60625,1787,1236.0980236638288
46,2020-05-30,61254,629,1273.223781681776
47,2020-05-31,63045,1791,1313.9508871188864
48,2020-06-01,64744,1699,1356.9400990787938
49,2020-06-02,65732,988,1400.7804258720887
50,2020-06-03,67569,1837,1444.240703467617
51,2020-06-04,69122,1553,1486.5338327342808
52,2020-06-05,70802,1680,1527.5603749235584
53,2020-06-06,72610,1808,1568.0983894624299
54,2020-06-07,74652,2042,1609.9104750930721
55,2020-06-08,75697,1045,1655.7466290948805
56,2020-06-09,76689,992,1709.2320536498123
57,2020-06-10,78427,1738,1774.641364265125
58,2020-06-11,80986,2559,1856.5735139708079
59,2020-06-12,82940,1954,1959.5537601268672
60,2020-06-13,85051,2111,2087.598831892337
61,2020-06-14,87192,2141,2243.787953107206
62,2020-06-15,88779,1587,2429.884693987139
63,2020-06-16,90488,1709,2646.052327891436
64,2020-06-17,93764,3276,2890.6984821543774
65,2020-06-18,98119,4355,3160.4738954691666
66,2020-06-19,101566,3447,3450.435968678793
67,2020-06-20,105635,4069,3754.3718189867336
68,2020-06-21,110250,4615,4065.2592557576636
69,2020-06-22,113112,2862,4375.829117034077
70,2020-06-23,118222,5110,4679.180299176084
71,2020-06-24,123440,5218,4969.390911359193
72,2020-06-25,129210,5770,5242.066260349889
73,2020-06-26,134997,5787,5494.767314400832
74,2020-06-27,140671,5674,5727.271866573235
75,2020-06-28,146254,5583,5941.634225076701
76,2020-06-29,151045,4791,6142.026798307006
77,2020-06-30,157434,6389,6334.366891745268
78,2020-07-01,163737,6303,6525.752582424208
79,2020-07-02,172859,9122,6723.750751773123
80,2020-07-03,180169,7310,6935.596365623012
81,2020-07-04,186319,6150,7167.37325628934
82,2020-07-05,192796,6477,7423.2517525152725
83,2020-07-06,196377,3581,7704.856814929505
84,2020-07-07,206410,10033,8010.831775239256
85,2020-07-08,216769,10359,8336.647891916393
86,2020-07-09,226133,9364,8674.689873450798
87,2020-07-10,237792,11659,9014.623946221336
88,2020-07-11,247074,9282,9344.029995005632
89,2020-07-12,255320,8246,9649.255012232534
90,2020-07-13,263551,8231,9916.423783312244
91,2020-07-14,270707,7156,10132.526424917538
92,2020-07-15,281105,10398,10286.49269540433
93,2020-07-16,292477,11372,10370.160968456521
94,2020-07-17,306424,13947,10379.055792660944
95,2020-07-18,318175,11751,10312.901724413456
96,2020-07-19,327611,9436,10175.82159030488
97,2020-07-20,335654,8043,9976.192855280895
98,2020-07-21,344484,8830,9726.164205062503
99,2020-07-22,352767,8283,9440.863353051376
100,2020-07-23,364292,11525,9137.35392170996
101,2020-07-24,373803,9511,8833.421631352536
102,2020-07-25,381162,7359,8546.28591409331
103,2020-07-26,390803,9641,8291.340957821085
104,2020-07-27,394669,3866,8081.02925886038
105,2020-07-28,401119,6450,7923.940973275668
106,2020-07-29,409885,8766,7824.214437714494
107,2020-07-30,420556,10671,7781.2886395988835
108,2020-07-31,429579,9023,7790.029217048257
109,2020-08-01,440681,11102,7841.218253796735
110,2020-08-02,446789,6108,7922.367408495992
111,2020-08-03,449977,3188,8018.786460595821
112,2020-08-04,459256,9279,8114.817582558074
113,2020-08-05,470160,10904,8195.131496775164
114,2020-08-06,480704,10544,8245.976426222593
115,2020-08-07,488041,7337,8256.27490775579
116,2020-08-08,495960,7919,8218.47678898477
117,2020-08-09,502563,6603,8129.097955060555
118,2020-08-10,507929,5366,7988.901704110756
119,2020-08-11,513939,6010,7802.710833080651
120,2020-08-12,522215,8276,7578.870690365333
121,2020-08-13,528743,6528,7328.413875180756
122,2020-08-14,535743,7000,7064.003239071347
123,2020-08-15,545700,9957,6798.749078371099
124,2020-08-16,552814,7114,6545.007191456092
125,2020-08-17,560484,7670,6313.265845471338
126,2020-08-18,565979,5495,6111.221516514197
127,2020-08-19,573798,7819,5943.12624063608
128,2020-08-20,579406,5608,5809.465028954449
129,2020-08-21,584628,5222,5706.992200247293
130,2020-08-22,590409,5781,5629.123275458257
131,2020-08-23,594188,3779,5566.6471031368055
132,2020-08-24,598910,4722,5508.693970529097
133,2020-08-25,603381,4471,5443.872164581079
134,2020-08-26,609534,6153,5361.469851849849
135,2020-08-27,615772,6238,5252.612642752429
136,2020-08-28,619814,4042,5111.270391544595
137,2020-08-29,625053,5239,4935.019404685398
138,2020-08-30,630092,5039,4725.487202342627
139,2020-08-31,632865,2773,4488.434481075444
140,2020-09-01,636201,3336,4233.460565141224
141,2020-09-02,641231,5030,3973.3516493147968
142,2020-09-03,645406,4175,3723.1226446891997
143,2020-09-04,648964,3558,3498.830687695835
144,2020-09-05,654952,5988,3316.2589794323794
145,2020-09-06,659411,4459,3189.5817839483757
146,2020-09-07,661911,2500,3130.12406244991
147,2020-09-08,662778,867,3145.322114736113
148,2020-09-09,666409,3631,3237.9753452907394
149,2020-09-10,671279,4870,3405.855266578221
150,2020-09-11,673462,2183,3641.7081612191337
151,2020-09-12,679032,5570,3933.6549989878094
152,2020-09-13,681899,2867,4265.959058176755
153,2020-09-14,686166,4267,4620.101066136832
154,2020-09-15,690216,4050,4976.076156031793
155,2020-09-16,697241,7025,5313.808690320133
156,2020-09-17,701187,3946,5614.571546040841
157,2020-09-18,705749,4562,5862.296550902243
158,2020-09-19,709198,3449,6044.672338956808
159,2020-09-20,712051,2853,6153.944086457578
160,2020-09-21,717727,5676,6187.3547896331565
161,2020-09-22,739487,21760,6147.1977687990075
162,2020-09-23,746471,6984,6040.482347581426
163,2020-09-24,747945,1474,5878.246415138225
164,2020-09-25,752811,4866,5674.578156266202
165,2020-09-26,756802,3991,5445.432251016768
166,2020-09-27,760281,3479,5207.341422748478
167,2020-09-28,765003,4722,4976.1311263930875
168,2020-09-29,767990,2987,4765.7429431542605
169,2020-09-30,774438,6448,4587.261192260218
170,2020-10-01,778057,3619,4448.218439070548
171,2020-10-02,781843,3786,4352.230672189729
172,2020-10-03,787698,5855,4298.984132866042
173,2020-10-04,793064,5366,4284.5655988250555
174,2020-10-05,795520,2456,4302.098924651561
175,2020-10-06,799793,4273,4342.625256430298
176,2020-10-07,806225,6432,4396.14466091357
177,2020-10-08,811391,5166,4452.724514841238
178,2020-10-09,815327,3936,4503.575823103698
179,2020-10-10,819912,4585,4542.002900496163
180,2020-10-11,824119,4207,4564.144069442108
181,2020-10-12,826196,2077,4569.440041105379
182,2020-10-13,828815,2619,4560.790752108275
183,2020-10-14,834761,5946,4544.388516581679
184,2020-10-15,840829,6068,4529.243101987979
185,2020-10-16,845717,4888,4526.440410498334
186,2020-10-17,851830,6113,4548.198690600632
187,2020-10-18,856684,4854,4606.802819677478
188,2020-10-19,862191,5507,4713.506893018312
189,2020-10-20,865445,3254,4877.497433391949
190,2020-10-21,870980,5535,5105.003948370518
191,2020-10-22,877928,6948,5398.630896109567
192,2020-10-23,880754,2826,5756.966533417416
193,2020-10-24,887961,7207,6174.501236290326
194,2020-10-25,897630,9669,6641.86264607713
195,2020-10-26,901131,3501,7146.349499880113
196,2020-10-27,907706,6575,7672.722324190259
197,2020-10-28,914584,6878,8204.189186176058
